cod_ibge,nome_cidade,nome_uf,populacao
3550308,São Paulo,São Paulo,12396372
3304557,Rio de Janeiro,Rio de Janeiro,6775561
5300108,Brasília,Distrito Federal,3094325
2927408,Salvador,Bahia,2900319
2304400,Fortaleza,Ceará,2703391
3106200,Belo Horizonte,Minas Gerais,2530701
1302603,Manaus,Amazonas,2255903
4106902,Curitiba,Paraná,1963726
2611606,Recife,Pernambuco,1661017
5208707,Goiânia,Goiás,1555626
1501402,Belém,Pará,1506420
4314902,Porto Alegre,Rio Grande do Sul,1492530
3518800,Guarulhos,São Paulo,1404694
3509502,Campinas,São Paulo,1223237
2111300,São Luís,Maranhão,1115932
3304904,São Gonçalo,Rio de Janeiro,1098357
2704302,Maceió,Alagoas,1031597
3301702,Duque de Caxias,Rio de Janeiro,929449
5002704,Campo Grande,Mato Grosso do Sul,916001
2408102,Natal,Rio Grande do Norte,896708
2211001,Teresina,Piauí,871126
3548708,São Bernardo do Campo,São Paulo,849874
2507507,João Pessoa,Paraíba,825796
3303500,Nova Iguaçu,Rio de Janeiro,825388
3549904,São José dos Campos,São Paulo,737310
3547809,Santo André,São Paulo,723889
3543402,Ribeirão Preto,São Paulo,720116
2607901,Jaboatão dos Guararapes,Pernambuco,711330
3170206,Uberlândia,Minas Gerais,706597
3534401,Osasco,São Paulo,701428
3552205,Sorocaba,São Paulo,695328
3118601,Contagem,Minas Gerais,673849
2800308,Aracaju,Sergipe,672614
2910800,Feira de Santana,Bahia,624107
5103403,Cuiabá,Mato Grosso,623614
4209102,Joinville,Santa Catarina,604708
5201405,Aparecida de Goiânia,Goiás,601844
4113700,Londrina,Paraná,580870
3136702,Juiz de Fora,Minas Gerais,577532
1100205,Porto Velho,Rondônia,548952
1500800,Ananindeua,Pará,540410
3205002,Serra,Espírito Santo,536765
4305108,Caxias do Sul,Rio Grande do Sul,523716
1600303,Macapá,Amapá,522357
3303302,Niterói,Rio de Janeiro,516981
4205407,Florianópolis,Santa Catarina,516524
3300456,Belford Roxo,Rio de Janeiro,515239
3301009,Campos dos Goytacazes,Rio de Janeiro,514643
3205200,Vila Velha,Espírito Santo,508655
3529401,Mauá,São Paulo,481725
3305109,São João de Meriti,Rio de Janeiro,473385
3549805,São José do Rio Preto,São Paulo,469173
3530607,Mogi das Cruzes,São Paulo,455587
3106705,Betim,Minas Gerais,450024
1400100,Boa Vista,Roraima,436591
4115200,Maringá,Paraná,436472
3548500,Santos,São Paulo,433991
3513801,Diadema,São Paulo,429550
3525904,Jundiaí,São Paulo,426935
1200401,Rio Branco,Acre,419452
3143302,Montes Claros,Minas Gerais,417478
2504009,Campina Grande,Paraíba,413830
3538709,Piracicaba,São Paulo,410275
3510609,Carapicuíba,São Paulo,405375
5201108,Anápolis,Goiás,396526
2609600,Olinda,Pernambuco,393734
3201308,Cariacica,Espírito Santo,386495
3506003,Bauru,São Paulo,381706
3523107,Itaquaquecetuba,São Paulo,379082
3551009,São Vicente,São Paulo,370839
3205309,Vitória,Espírito Santo,369534
2604106,Caruaru,Pernambuco,369343
2303709,Caucaia,Ceará,368918
4202404,Blumenau,Santa Catarina,366418
2611101,Petrolina,Pernambuco,359372
4119905,Ponta Grossa,Paraná,358838
3516200,Franca,São Paulo,358539
4304606,Canoas,Rio Grande do Sul,349728
4314407,Pelotas,Rio Grande do Sul,343826
2933307,Vitória da Conquista,Bahia,343643
3154606,Ribeirão das Neves,Minas Gerais,341415
3170107,Uberaba,Minas Gerais,340277
2610707,Paulista,Pernambuco,336919
3541000,Praia Grande,São Paulo,336454
4104808,Cascavel,Paraná,336073
4125506,São José dos Pinhais,Paraná,334620
3518701,Guarujá,São Paulo,324977
3554102,Taubaté,São Paulo,320820
1721000,Palmas,Tocantins,313349
3526902,Limeira,São Paulo,310783
2905701,Camaçari,Bahia,309208
1506807,Santarém,Pará,308339
3303906,Petrópolis,Rio de Janeiro,307144
2408003,Mossoró,Rio Grande do Norte,303792
3552502,Suzano,São Paulo,303397
3552809,Taboão da Serra,São Paulo,297528
5108402,Várzea Grande,Mato Grosso,290383
3552403,Sumaré,São Paulo,289875
1504208,Marabá,Pará,287664
4309209,Gravataí,Rio Grande do Sul,285564
4316907,Santa Maria,Rio Grande do Sul,285159
3127701,Governador Valadares,Minas Gerais,282164
3505708,Barueri,São Paulo,279704
3515004,Embu das Artes,São Paulo,279264
2307304,Juazeiro do Norte,Ceará,278264
3306305,Volta Redonda,Rio de Janeiro,274925
2403251,Parnamirim,Rio Grande do Norte,272490
3131307,Ipatinga,Minas Gerais,267333
3302403,Macaé,Rio de Janeiro,266136
3520509,Indaiatuba,São Paulo,260690
2105302,Imperatriz,Maranhão,259980
4108304,Foz do Iguaçu,Paraná,257971
3513009,Cotia,São Paulo,257882
4323002,Viamão,Rio Grande do Sul,257330
3548906,São Carlos,São Paulo,256915
4216602,São José,Santa Catarina,253705
4105805,Colombo,Paraná,249277
3302502,Magé,Rio de Janeiro,247741
4313409,Novo Hamburgo,Rio Grande do Sul,247303
5218805,Rio Verde,Goiás,247259
3301900,Itaboraí,Rio de Janeiro,244416
3501608,Americana,São Paulo,244370
3522505,Itapevi,São Paulo,244131
3167202,Sete Lagoas,Minas Gerais,243950
3122306,Divinópolis,Minas Gerais,242505
3529005,Marília,São Paulo,242249
3503208,Araraquara,São Paulo,240542
4318705,São Leopoldo,Rio Grande do Sul,240378
5107602,Rondonópolis,Mato Grosso,239613
3519071,Hortolândia,São Paulo,237570
3524402,Jacareí,São Paulo,237119
2700300,Arapiraca,Alagoas,234309
3300704,Cabo Frio,Rio de Janeiro,234077
3541406,Presidente Prudente,São Paulo,231953
2307650,Maracanaú,Ceará,230986
5003702,Dourados,Mato Grosso do Sul,227990
4204202,Chapecó,Santa Catarina,227587
4208203,Itajaí,Santa Catarina,226617
5200258,Águas Lindas de Goiás,Goiás,222850
3157807,Santa Luzia,Minas Gerais,221705
2918407,Juazeiro,Bahia,219544
4204608,Criciúma,Santa Catarina,219393
1505536,Parauapebas,Pará,218787
5212501,Luziânia,Goiás,214645
2914802,Itabuna,Bahia,214123
4315602,Rio Grande,Rio Grande do Sul,212881
2312908,Sobral,Ceará,212437
4300604,Alvorada,Rio Grande do Sul,212352
3201209,Cachoeiro de Itapemirim,Espírito Santo,212172
2602902,Cabo de Santo Agostinho,Pernambuco,210796
3300100,Angra dos Reis,Rio de Janeiro,210171
3543907,Rio Claro,São Paulo,209548
4314100,Passo Fundo,Rio Grande do Sul,206103
1502400,Castanhal,Pará,205667
2919207,Lauro de Freitas,Bahia,204669
3502804,Araçatuba,São Paulo,199210
3515707,Ferraz de Vasconcelos,São Paulo,198661
3545803,Santa Bárbara d'Oeste,São Paulo,195278
3303401,Nova Friburgo,Rio de Janeiro,191664
2804805,Nossa Senhora do Socorro,Sergipe,187733
1702109,Araguaína,Tocantins,186245
3305802,Teresópolis,Rio de Janeiro,185820
3300407,Barra Mansa,Rio de Janeiro,185237
4208906,Jaraguá do Sul,Santa Catarina,184579
3129806,Ibirité,Minas Gerais,184030
4109401,Guarapuava,Paraná,183755
2111201,São José de Ribamar,Maranhão,180345
3203205,Linhares,Espírito Santo,179755
3522208,Itapecerica da Serra,São Paulo,179574
3516309,Francisco Morato,São Paulo,179372
4211900,Palhoça,Santa Catarina,178679
3523909,Itu,São Paulo,177150
3302858,Mesquita,Rio de Janeiro,177016
5221858,Valparaíso de Goiás,Goiás,175720
3507605,Bragança Paulista,São Paulo,172346
3538006,Pindamonhangaba,São Paulo,171885
2112209,Timon,Maranhão,171317
3151800,Poços de Caldas,Minas Gerais,169838
3302700,Maricá,Rio de Janeiro,167668
3522307,Itapetininga,São Paulo,167106
2103000,Caxias,Maranhão,166159
2931350,Teixeira de Freitas,Bahia,164290
3303203,Nilópolis,Rio de Janeiro,162893
3548807,São Caetano do Sul,São Paulo,162763
1500107,Abaetetuba,Pará,160439
2603454,Camaragibe,Pernambuco,159945
3304524,Rio das Ostras,Rio de Janeiro,159529
3516408,Franco da Rocha,São Paulo,158438
2903201,Barreiras,Bahia,158432
2913606,Ilhéus,Bahia,157639
4118204,Paranaguá,Paraná,157378
4209300,Lages,Santa Catarina,157158
2918001,Jequié,Bahia,156277
3148004,Patos de Minas,Minas Gerais,154641
3152501,Pouso Alegre,Minas Gerais,154293
3530706,Mogi Guaçu,São Paulo,154146
2207702,Parnaíba,Piauí,153863
3525300,Jaú,São Paulo,153463
2900702,Alagoinhas,Bahia,153023
2925303,Porto Seguro,Bahia,152529
3304144,Queimados,Rio de Janeiro,152311
3507506,Botucatu,São Paulo,149718
4202008,Balneário Camboriú,Santa Catarina,149227
5107909,Sinop,Mato Grosso,148960
4101804,Araucária,Paraná,148522
3504107,Atibaia,São Paulo,145378
3547304,Santana de Parnaíba,São Paulo,145073
4127700,Toledo,Paraná,144601
4320008,Sapucaia do Sul,Rio Grande do Sul,142508
2606002,Garanhuns,Pernambuco,141347
3168606,Teófilo Otoni,Minas Gerais,141269
1502103,Cametá,Pará,140814
4202909,Brusque,Santa Catarina,140597
2616407,Vitória de Santo Antão,Pernambuco,140389
3105608,Barbacena,Minas Gerais,139061
2513703,Santa Rita,Paraíba,138093
3156700,Sabará,Minas Gerais,137877
3170701,Varginha,Minas Gerais,137608
4101408,Apucarana,Paraná,137438
2930709,Simões Filho,Bahia,137117
3503307,Araras,São Paulo,136739
3302007,Itaguaí,Rio de Janeiro,136547
3300209,Araruama,Rio de Janeiro,136109
1504422,Marituba,Pará,135812
1507300,São Félix do Xingu,Pará,135732
4104204,Campo Largo,Paraná,135678
4119152,Pinhais,Paraná,134788
3204906,São Mateus,Espírito Santo,134629
2304202,Crato,Ceará,133913
3304201,Resende,Rio de Janeiro,133244
3556206,Valinhos,São Paulo,133169
3513504,Cubatão,São Paulo,132521
4316808,Santa Cruz do Sul,Rio Grande do Sul,132271
4303103,Cachoeirinha,Rio Grande do Sul,132144
5221403,Trindade,Goiás,132006
3171204,Vespasiano,Minas Gerais,131849
2306405,Itapipoca,Ceará,131687
2307700,Maranguape,Ceará,131677
1100122,Ji-Paraná,Rondônia,131026
3118304,Conselheiro Lafaiete,Minas Gerais,130584
1501709,Bragança,Pará,130122
1501303,Barcarena,Pará,129333
3202405,Guarapari,Espírito Santo,128504
3551702,Sertãozinho,São Paulo,128432
3525003,Jandira,São Paulo,127734
4322400,Uruguaiana,Rio Grande do Sul,126766
4101507,Arapongas,Paraná,126545
3506508,Birigui,São Paulo,126094
5208004,Formosa,Goiás,125705
2107506,Paço do Lumiar,Maranhão,125265
3543303,Ribeirão Pires,São Paulo,125238
3510500,Caraguatatuba,São Paulo,125194
5008305,Três Lagoas,Mato Grosso do Sul,125137
1600600,Santana,Amapá,124808
3557006,Votorantim,São Paulo,124468
3201506,Colatina,Espírito Santo,124283
3556503,Várzea Paulista,São Paulo,124269
3523404,Itatiba,São Paulo,124254
3554003,Tatuí,São Paulo,124134
3505500,Barretos,São Paulo,123546
2103307,Codó,Maranhão,123368
3518404,Guaratinguetá,São Paulo,123192
3511102,Catanduva,São Paulo,123114
4302105,Bento Gonçalves,Rio Grande do Sul,123090
3131703,Itabira,Minas Gerais,121717
4301602,Bagé,Rio Grande do Sul,121518
5220454,Senador Canedo,Goiás,121447
4100400,Almirante Tamandaré,Paraná,121420
3545209,Salto,São Paulo,120779
2606804,Igarassu,Pernambuco,119690
5215231,Novo Gama,Goiás,119649
3539806,Poá,São Paulo,119221
2924009,Paulo Afonso,Bahia,119213
3103504,Araguari,Minas Gerais,118361
3169901,Ubá,Minas Gerais,117995
1500602,Altamira,Pará,117320
4119509,Piraquara,Paraná,116852
1508100,Tucuruí,Pará,116605
1303403,Parintins,Amazonas,116439
3147907,Passos,Minas Gerais,115970
1505502,Paragominas,Pará,115838
2910727,Eunápolis,Bahia,115360
3534708,Ourinhos,São Paulo,115139
2613701,São Lourenço da Mata,Pernambuco,114910
3536505,Paulínia,São Paulo,114508
2100055,Açailândia,Maranhão,113783
4128104,Umuarama,Paraná,113416
5205109,Catalão,Goiás,113091
5003207,Corumbá,Mato Grosso do Sul,112669
2612505,Santa Cruz do Capibaribe,Pernambuco,111812
1507953,Tailândia,Pará,111554
1100023,Ariquemes,Rondônia,111148
3119401,Coronel Fabriciano,Minas Gerais,110709
3143906,Muriaé,Minas Gerais,109997
2510808,Patos,Paraíba,108766
3104007,Araxá,Minas Gerais,108403
3145208,Nova Serrana,Minas Gerais,108241
4103701,Cambé,Paraná,108126
5107958,Tangará da Serra,Mato Grosso,107631
3305208,São Pedro da Aldeia,Rio de Janeiro,107556
4307005,Erechim,Rio Grande do Sul,107368
4218707,Tubarão,Santa Catarina,107143
5211503,Itumbiara,Goiás,106845
3302270,Japeri,Rio de Janeiro,106296
2803500,Lagarto,Sergipe,106015
3134202,Ituiutaba,Minas Gerais,105818
3504008,Assis,São Paulo,105768
3138203,Lavras,Minas Gerais,105756
3526704,Leme,São Paulo,105273
2101202,Bacabal,Maranhão,105094
3200607,Aracruz,Espírito Santo,104942
2412005,São Gonçalo do Amarante,Rio Grande do Norte,104919
1100304,Vilhena,Rondônia,104517
3302205,Itaperuna,Rio de Janeiro,104354
3522109,Itanhaém,São Paulo,104351
1501808,Breves,Pará,104280
1301902,Itacoatiara,Amazonas,104046
3509007,Caieiras,São Paulo,104044
4107652,Fazenda Rio Grande,Paraná,103750
3528502,Mairiporã,São Paulo,103645
2305506,Iguatu,Ceará,103633
5211909,Jataí,Goiás,103221
2928703,Santo Antônio de Jesus,Bahia,103204
1503606,Itaituba,Pará,101541
3300308,Barra do Piraí,Rio de Janeiro,101139
2600054,Abreu e Lima,Pernambuco,100698
1302504,Manacapuru,Amazonas,99613
2607208,Ipojuca,Pernambuco,99101
4126256,Sarandi,Paraná,98888
4309308,Guaíba,Rio Grande do Sul,98331
2932903,Valença,Bahia,97873
3132404,Itajubá,Minas Gerais,97782
2501807,Bayeux,Paraíba,97519
3144805,Nova Lima,Minas Gerais,97378
2101400,Balsas,Maranhão,96951
2802908,Itabaiana,Sergipe,96839
3557105,Votuporanga,São Paulo,96106
