nome_fantasia,data_inicio_atividades,cnae_fiscal,cep,municipio,porte
A & B RECICLAGEM,20090902,4785799,43700971,3913,1
A & J CARGAS,20010816,4930202,43700000,3913,1
A & L MAGAZINE,19980202,4782201,46200000,3473,1
A A BRITO REPRESENTACOES DE MATERIAL DE CONSTRUCOES,20080303,4619200,46900000,3897,1
A A P R,19981127,9430800,45650780,3573,5
A B IMPORTADOS,19980401,4755502,48970000,3901,1
A BAHIA,20010417,4784900,45870000,3719,1
A BARATINHA,20070802,4713002,46790000,3601,1
A BARATINHA CONFECCOES,20051031,4781400,45600221,3597,1
A BENCAO,20040818,9430800,42804590,3413,5
A BICICLETA,19920630,4763603,42827702,3413,1
A BIOQUIMIKA FARMACIA DE MANIPULACAO,20050621,4771702,41800700,3849,1
A C A F A D,19990517,9430800,48790000,3937,5
A C ATACADO DE CIMENTO,20090911,4744099,47400000,3971,1
A C B C,19990426,9430800,46820000,3265,5
A C C,20010522,9430800,48700000,3909,5
A C C,19951227,9430800,48750000,3823,5
A C M,19961206,9430800,47520000,3565,5
A C P ENGENHARIA,19980119,7112000,41820020,3849,1
A CACULA CONFECCOES,19850510,4781400,45200005,3661,1
A CAMPONESA,20020729,4789099,45400000,3957,3
A CAMPONESA,20080815,4789099,46990000,3915,1
A CANTAINA,20140526,5611201,48904140,3669,1
A CASA DO CRIADOR,20051027,4771704,44695000,3083,1
A CENTRAL COMERCIO E SERVICOS,20100129,4744099,47990000,3521,1
A COMERCIAL JOIAS,19730919,4783101,46100000,3391,1
A COMPAT,20010618,9430800,44700000,3651,5
A COMUNIDADE RESTAURANDO VIDAS,20120307,9430800,45065170,3965,5
A CONQUISTADORA,19820712,4744099,45540000,3529,1
A CONSTRUCENTER METALURGICA,19860925,4687703,44110000,3515,1
A CONSTRUTORA,20090924,4744099,44245000,3469,3
A D C A S S Q,20051130,9430800,48565000,3043,5
A DISBAL,19940816,4754701,44635000,3997,5
A E L COMERCIO E SERVICOS,20100518,9511800,41181100,3849,1
A F CVONSTRUCOES,20100705,4330405,48760000,3341,1
A F MATERIAIS DE CONSTRUCAO,20090910,4744001,46100000,3391,1
A F P M M,19840606,9420100,44630000,3703,5
A FAZENDINHA PRODUTOS VETERINARIOS,19941010,4771704,48180000,3509,1
A FEIRITA DISTRIBUIDORA,20000113,4646002,44330000,3885,3
A FITA CONFECCOES,20070706,1414200,44020000,3515,1
A FORMULA,20040706,4771702,44075425,3515,3
A FORMULA,19881021,4771702,40070045,3849,5
A FORMULA,20011109,4771702,45653540,3573,3
A FORMULA,20070822,4771702,44700000,3651,3
A FORTIORI,19930903,1412601,46400000,3403,3
A FUNERARIA,19770201,4774100,45400000,3957,1
A G COMERCIAL DE ALIMENTOS E BEBIDAS,20020201,4729699,43900000,3883,1
A G MELLO REPRESENTACOES,20100621,4617600,45604030,3597,1
A G SERVICOS,20100525,4399199,45658630,3573,1
A GRACIOSA,20091218,4789001,47800130,3363,1
A GURILANDIA,19940119,4763601,48005180,3313,1
A IDEAL MODAS,19930201,4755501,45700000,3629,3
A IGREJA EM BARREIRAS,19981215,9491000,47801050,3363,5
A J REPRESENTACOES,19920514,4530706,45075075,3965,1
A L MERCADINHO,20100303,4712100,45640000,3317,1
A L O S SERVICOS,20080125,3702900,48760000,3341,1
A L S CELEULARES,20081014,4752100,44002000,3515,1
