nome_fantasia,slug,inicio_atividades,porte_empresa,nome_cidade,sigla_uf,populacao_cidade,latitude_cidade,longitude_cidade,dist_1,dist_2,dist_3,dist_4
AUTO POSTO ABAIRA,auto-posto-abaira,2007-12-10T02:00:00.000Z,3,Abaíra,BA,8681,-13.2488,-41.6619,,,,
BAR DO BOEMIO,bar-do-boemio,1992-05-28T03:00:00.000Z,1,Abaíra,BA,8681,-13.2488,-41.6619,,,,
COMERCIAL SOUZA,comercial-souza,2010-10-15T03:00:00.000Z,1,Abaíra,BA,8681,-13.2488,-41.6619,,,,
CRISARTE BAZAR,crisarte-bazar,1998-06-26T03:00:00.000Z,1,Abaíra,BA,8681,-13.2488,-41.6619,,,,
MARCELA MODAS,marcela-modas,1986-07-10T03:00:00.000Z,1,Abaíra,BA,8681,-13.2488,-41.6619,,,,
MERCEARIA COSTA,mercearia-costa,1976-10-21T03:00:00.000Z,1,Abaíra,BA,8681,-13.2488,-41.6619,,,,
MG MOVEIS & ELETRODOMESTICO,mg-moveis-eletrodomestico,2012-03-20T03:00:00.000Z,1,Abaíra,BA,8681,-13.2488,-41.6619,,,,
OFICINA ABAIRA,oficina-abaira,2001-05-31T03:00:00.000Z,1,Abaíra,BA,8681,-13.2488,-41.6619,,,,
POSTO DE MEDICAMENTOS NOVA ESPERANCA,posto-de-medicamentos-nova-esperanca,1991-10-31T02:00:00.000Z,1,Abaíra,BA,8681,-13.2488,-41.6619,,,,
ASSOCIACAO DOS P.AG.DO ASSENTAMENTO ANTONIO CONSELHEIRO,associacao-dos-pagdo-assentamento-antonio-conselheiro,2006-04-17T03:00:00.000Z,5,Abaré,BA,20594,-8.72073,-39.1162,,,,
IBO CONSTRUCOES,ibo-construcoes,2005-02-02T02:00:00.000Z,1,Abaré,BA,20594,-8.72073,-39.1162,,,,
MB,mb,2012-06-06T03:00:00.000Z,1,Abaré,BA,20594,-8.72073,-39.1162,,,,
POSTO Z R,posto-z-r,2007-04-04T03:00:00.000Z,1,Abaré,BA,20594,-8.72073,-39.1162,,,,
POUSADA ABARE,pousada-abare,1998-10-20T02:00:00.000Z,1,Abaré,BA,20594,-8.72073,-39.1162,,,,
